,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
95,naze,75,NG,1569467836,100,5.43,7.07,75.2,1.48
96,yulara,69,AU,1569467836,29,-25.24,130.99,78.8,6.93
97,cidreira,0,BR,1569467750,95,-30.17,-50.22,61.52,7.36
98,penzance,97,GB,1569467837,100,50.12,-5.53,61.0,24.16
99,cukai,75,MY,1569467715,74,4.25,103.42,84.2,3.36
100,artyom,40,RU,1569467837,60,43.36,132.19,71.6,4.47
101,port elizabeth,1,US,1569467837,87,39.31,-74.98,70.0,4.59
102,mirassol,75,BR,1569467838,93,-20.81,-49.51,66.2,3.36
103,klaksvik,100,FO,1569467838,100,62.23,-6.59,51.8,28.86
104,padang,94,ID,1569467838,84,-0.92,100.36,78.79,8.5
105,hithadhoo,100,MV,1569467838,73,-0.6,73.08,83.0,10.13
106,saint-augustin,75,CA,1569467839,77,45.63,-73.98,63.0,12.75
107,namatanai,27,PG,1569467839,76,-3.66,152.44,81.81,5.5
108,georgetown,20,GY,1569467777,94,6.8,-58.16,77.0,4.7
109,golden,1,US,1569467789,48,39.76,-105.22,66.99,4.7
110,gat,52,SN,1569467839,94,14.69,-16.54,78.8,5.44
111,grand gaube,40,MU,1569467839,94,-20.01,57.66,71.01,3.36
112,narsaq,0,GL,1569467840,69,60.91,-46.05,39.2,3.36
113,ostersund,0,SE,1569467840,93,63.18,14.64,35.6,3.36
114,prudy,100,UA,1569467840,82,51.33,33.8,45.11,8.84
115,kununurra,0,AU,1569467840,17,-15.77,128.74,95.0,9.17
116,siena,40,IT,1569467841,88,43.32,11.33,68.0,4.7
117,coihaique,0,CL,1569467841,75,-45.58,-72.07,44.6,5.82
118,chokurdakh,87,RU,1569467841,64,70.62,147.9,31.77,8.14
119,havre-saint-pierre,90,CA,1569467841,93,50.23,-63.6,46.4,8.05
120,iqaluit,40,CA,1569467576,70,63.75,-68.52,42.8,17.22
121,yellowknife,75,CA,1569467678,93,62.45,-114.38,35.6,5.82
122,imbituba,40,BR,1569467841,88,-28.24,-48.67,64.4,3.36
123,kloulklubed,75,PW,1569467842,74,7.04,134.26,86.0,8.05
124,varhaug,75,NO,1569467842,62,58.61,5.65,55.99,9.17
125,christchurch,0,NZ,1569467693,31,-43.53,172.64,64.0,9.17
126,pangnirtung,96,CA,1569467757,40,66.15,-65.72,36.43,4.72
127,tiksi,72,RU,1569467842,76,71.64,128.87,37.89,10.29
128,ponta do sol,100,BR,1569467783,90,-20.63,-46.0,63.4,4.81
129,brigantine,1,US,1569467842,72,39.41,-74.36,71.01,3.36
130,deer lake,90,CA,1569467697,100,49.18,-57.43,46.4,11.41
131,martapura,73,ID,1569467843,55,-3.41,114.85,89.75,6.02
132,rincon,75,PA,1569467843,88,8.46,-82.28,78.8,2.24
133,ribeira grande,7,PT,1569467843,91,38.52,-28.7,72.52,14.65
134,saint george,20,GR,1569467704,100,39.45,22.34,59.0,1.68
135,los llanos de aridane,20,ES,1569467843,69,28.66,-17.92,73.4,10.29
136,pacific grove,1,US,1569467843,49,36.62,-121.92,82.4,5.82
137,harper,1,US,1569467843,54,30.3,-99.24,82.99,11.3
138,moerai,71,PF,1569467844,80,-22.43,-151.33,72.74,8.52
139,itoman,20,JP,1569467844,70,26.12,127.67,87.8,12.75
140,yzeure,90,FR,1569467844,93,46.57,3.36,60.8,2.24
141,dutlwe,0,BW,1569467844,61,-23.98,23.93,50.63,15.32
142,hermanus,0,ZA,1569467844,72,-34.42,19.24,69.01,5.99
143,east london,0,ZA,1569467590,76,-33.02,27.91,51.8,9.17
144,lima,90,PE,1569467845,87,-12.06,-77.04,60.8,10.29
145,ternate,20,PH,1569467845,66,14.29,120.72,87.01,8.05
146,tura,87,RU,1569467845,67,64.27,100.22,36.77,10.6
147,balikpapan,0,ID,1569467845,46,-1.24,116.86,91.37,2.8
148,bar harbor,90,US,1569467846,93,44.39,-68.2,57.0,3.36
149,thompson,5,CA,1569467846,64,55.74,-97.86,37.4,3.36
150,parkes,0,AU,1569467776,22,-33.14,148.18,75.0,6.71
151,hamilton,20,CA,1569467635,82,43.26,-79.87,72.0,10.29
152,kirkwall,100,GB,1569467846,100,58.98,-2.96,55.99,18.34
153,te anau,100,NZ,1569467846,87,-45.41,167.72,44.05,13.33
154,mandan,1,US,1569467711,93,46.83,-100.89,48.99,10.29
155,dubbo,43,AU,1569467847,22,-32.25,148.6,69.8,5.82
156,castro,0,CL,1569467847,87,-42.48,-73.76,51.8,6.93
157,bambous virieux,40,MU,1569467847,94,-20.34,57.76,71.01,3.36
158,paralimni,0,GR,1569467847,89,40.99,23.67,68.0,3.0
159,nikolskoye,100,RU,1569467847,93,59.7,30.79,37.99,2.91
160,tarko-sale,100,RU,1569467848,83,64.92,77.78,37.0,18.57
161,qaanaaq,100,GL,1569467848,68,77.48,-69.36,19.22,12.95
162,lappeenranta,0,FI,1569467848,83,61.06,28.19,42.01,2.24
163,merauke,8,ID,1569467848,84,-8.49,140.4,78.14,24.32
164,pailon,75,BO,1569467848,36,-17.66,-62.72,78.8,14.99
165,berlevag,90,NO,1569467848,87,70.86,29.09,42.8,4.7
166,elk city,1,US,1569467849,65,35.41,-99.4,82.99,8.05
167,cayenne,20,GF,1569467602,94,4.94,-52.33,77.0,3.44
168,port lincoln,9,AU,1569467849,64,-34.72,135.86,60.26,18.05
169,lyubertsy,0,RU,1569467849,86,55.68,37.89,43.0,4.47
170,maumere,0,ID,1569467849,57,-8.63,122.22,82.21,6.53
171,arraial do cabo,100,BR,1569467695,88,-22.97,-42.02,67.84,22.73
172,tigil,67,RU,1569467850,76,57.8,158.67,46.44,33.69
173,mahajanga,20,MG,1569467850,78,-15.72,46.32,73.4,3.36
174,benjamin aceval,0,PY,1569467850,40,-24.97,-57.57,71.6,5.82
175,husavik,62,CA,1569467850,80,50.56,-96.99,45.0,7.87
176,leningradskiy,13,RU,1569467850,78,69.38,178.42,30.82,3.87
177,presidencia roque saenz pena,0,AR,1569467851,54,-26.79,-60.44,62.08,5.17
178,atar,0,MR,1569467851,16,20.52,-13.05,92.86,12.15
179,panzhihua,100,CN,1569467851,86,26.59,101.72,58.16,0.94
180,kananga,100,CD,1569467851,98,-5.9,22.41,65.43,2.1
181,pevek,2,RU,1569467852,71,69.7,170.27,34.42,9.35
182,weyburn,3,CA,1569467833,66,49.67,-103.85,50.51,8.93
183,airai,0,TL,1569467852,50,-8.93,125.41,86.18,6.04
184,birao,100,CF,1569467852,89,10.3,22.78,73.42,5.37
185,nandyal,100,IN,1569467852,87,15.47,78.48,76.55,12.15
186,auchi,100,NG,1569467853,99,7.07,6.27,72.32,3.24
187,twante,40,MM,1569467853,83,16.72,95.93,82.4,6.93
188,porto nacional,1,BR,1569467853,42,-10.7,-48.41,82.4,3.36
189,coromandel,100,BR,1569467853,68,-18.47,-47.2,68.98,5.1
190,lusambo,100,CD,1569467853,95,-4.97,23.44,67.03,2.53
191,piacabucu,88,BR,1569467854,74,-10.41,-36.43,75.33,9.31
192,lewiston,1,US,1569467592,100,44.1,-70.21,55.99,0.56
193,san cristobal,100,HN,1569467854,96,14.68,-86.92,68.4,3.74
194,mbandaka,100,CD,1569467854,93,0.05,18.26,70.63,1.72
195,poum,90,MK,1569467854,87,41.28,20.71,53.6,2.24
196,port macquarie,40,AU,1569467855,60,-31.43,152.91,73.99,11.41
197,severo-kurilsk,77,RU,1569467855,83,50.68,156.12,49.01,29.39
198,kibala,20,TD,1569467855,88,9.11,18.35,75.2,1.1
199,bobcaygeon,1,CA,1569467855,68,44.54,-78.55,70.0,5.82
200,college,75,US,1569467855,78,64.86,-147.8,42.8,4.23
201,rojhan,1,PK,1569467855,45,28.69,69.95,86.71,3.94
202,alice springs,0,AU,1569467855,33,-23.7,133.88,75.2,5.82
203,brasilia,40,BR,1569467710,78,-10.9,-37.55,78.8,12.75
204,broome,100,GB,1569467856,100,52.47,1.45,61.0,9.17
205,matadi,63,CD,1569467856,79,-5.83,13.46,74.86,4.74
206,whitehorse,75,CA,1569467856,70,60.72,-135.06,45.0,5.82
207,kisangani,100,CD,1569467856,94,0.52,25.21,70.63,2.95
208,monkey bay,23,MW,1569467857,72,-14.08,34.91,66.38,15.32
209,lebu,96,ET,1569467688,80,8.96,38.73,55.67,2.84
210,half moon bay,1,US,1569467857,32,37.46,-122.43,86.0,11.41
211,egvekinot,11,RU,1569467857,63,66.32,-179.17,30.96,2.98
212,xining,0,CN,1569467857,55,36.62,101.77,51.34,4.38
213,norman wells,90,CA,1569467858,65,65.28,-126.83,44.6,2.06
214,puri,0,ID,1569467858,36,-7.54,112.45,92.39,12.26
215,iquitos,0,PE,1569467858,94,-3.75,-73.25,75.2,1.07
216,prado,100,CO,1569467859,71,3.75,-74.93,79.36,0.67
217,beringovskiy,100,RU,1569467859,90,63.05,179.32,38.68,21.45
218,eydhafushi,100,MV,1569467859,77,5.1,73.07,80.12,6.49
219,portland,1,US,1569467376,87,43.66,-70.25,57.0,5.82
220,chernyshevskiy,54,RU,1569467859,68,63.01,112.47,43.87,7.23
221,vestmannaeyjar,100,IS,1569467860,92,63.44,-20.27,50.72,6.35
222,sharjah,0,AE,1569467860,55,25.36,55.39,89.6,11.41
223,aklavik,90,CA,1569467860,86,68.22,-135.01,37.4,9.17
224,khorixas,87,NA,1569467860,21,-20.37,14.96,69.17,9.6
225,siderno,5,IT,1569467860,83,38.28,16.3,73.99,3.36
226,talnakh,75,RU,1569467861,93,69.49,88.39,35.6,15.66
227,cape town,0,ZA,1569467861,51,-33.93,18.42,72.0,8.05
228,dikson,97,RU,1569467861,95,73.51,80.55,35.57,7.96
229,kulu,100,CD,1569467861,98,3.47,23.69,69.55,4.7
230,mossendjo,100,CG,1569467861,94,-2.95,12.72,72.29,1.45
231,wanning,75,AT,1569467863,93,48.64,13.53,55.0,2.24
232,tyup,22,KG,1569467863,53,42.73,78.36,50.62,6.6
233,diamantino,100,BR,1569467863,89,-14.4,-56.44,72.54,5.64
234,guerrero negro,0,MX,1569467759,83,27.97,-114.04,67.03,12.62
235,clyde river,90,CA,1569467863,100,70.47,-68.59,35.6,17.22
236,jumla,91,NP,1569467864,72,29.28,82.18,58.99,1.43
237,fortuna,1,US,1569467726,76,40.6,-124.16,69.01,5.82
238,rocha,48,UY,1569467864,87,-34.48,-54.34,55.04,4.03
239,nishihara,40,JP,1569467864,65,35.74,139.53,82.0,6.93
240,mehamn,90,NO,1569467864,87,71.03,27.85,42.8,4.7
241,noumea,75,NC,1569467864,53,-22.28,166.46,75.2,20.8
242,melfi,20,IT,1569467865,78,41.0,15.66,71.6,5.82
243,moron,100,HT,1569467865,78,18.56,-74.26,80.75,9.33
244,mahebourg,40,MU,1569467865,94,-20.41,57.7,71.01,3.36
245,sao filipe,72,CV,1569467865,80,14.9,-24.5,78.05,17.49
246,kaniama,81,CD,1569467865,86,-7.57,24.18,68.54,2.95
247,kahului,90,US,1569467866,94,20.89,-156.47,84.2,8.05
248,lompoc,1,US,1569467736,93,34.64,-120.46,70.0,4.7
249,prince rupert,75,CA,1569467806,93,54.32,-130.32,48.2,3.36
250,zhanaozen,94,KZ,1569467866,52,43.35,52.85,57.82,13.35
251,baruun-urt,77,MN,1569467867,23,46.68,113.28,70.74,15.97
252,alabaster,40,US,1569467702,65,33.24,-86.82,82.99,3.49
253,kondinskoye,100,RU,1569467868,82,59.65,67.41,34.9,15.57
254,tilichiki,46,RU,1569467868,73,60.47,166.1,48.15,14.32
255,vaitape,56,PF,1569467868,79,-16.52,-151.75,79.27,14.76
256,novyy urengoy,100,RU,1569467868,95,66.08,76.63,34.27,14.67
257,timizart,0,DZ,1569467868,75,36.8,4.25,74.16,6.44
258,souillac,90,FR,1569467869,93,45.6,-0.6,63.0,8.05
259,westport,1,US,1569467869,77,41.14,-73.36,69.8,8.05
260,glubokiy,48,RU,1569467869,52,48.52,40.33,41.54,4.56
261,portsmouth,75,GB,1569467869,100,50.8,-1.08,63.0,13.87
262,alyangula,0,AU,1569467870,48,-13.85,136.42,87.8,14.99
263,hay river,20,CA,1569467870,86,60.82,-115.79,37.4,2.24
264,walvis bay,0,NA,1569467870,93,-22.95,14.51,57.99,4.7
265,banda aceh,100,ID,1569467870,70,5.56,95.32,82.48,6.67
266,derzhavinsk,0,KZ,1569467870,52,51.1,66.31,42.64,3.22
267,lasa,0,CY,1569467871,83,34.92,32.53,71.6,6.93
268,vawkavysk,100,BY,1569467871,87,53.15,24.45,43.81,7.81
269,ulladulla,40,AU,1569467871,63,-35.36,150.48,64.4,12.75
270,saint anthony,1,US,1569467871,44,43.97,-111.68,60.8,9.17
271,arlit,0,NE,1569467872,11,18.74,7.39,86.04,7.38
272,haikou,40,CN,1569467872,74,20.04,110.34,82.4,6.71
273,victoria,75,BN,1569467872,55,5.28,115.24,89.6,4.7
274,inhambane,5,MZ,1569467872,77,-23.87,35.38,58.57,8.48
275,ilhabela,100,BR,1569467872,85,-23.78,-45.36,68.72,4.83
276,salinopolis,79,BR,1569467873,76,-0.61,-47.36,81.72,16.22
277,lagoa,0,PT,1569467712,63,37.14,-8.45,66.2,2.24
278,kalemie,84,CD,1569467873,61,-5.95,29.2,68.62,4.76
279,morondava,0,MG,1569467873,71,-20.3,44.28,72.76,15.43
280,palu,0,ID,1569467873,62,-0.9,119.87,85.9,5.61
281,amanganj,100,IN,1569467873,88,24.43,80.04,76.07,10.25
282,vanavara,78,RU,1569467873,67,60.35,102.28,40.32,4.25
283,hualmay,100,PE,1569467873,94,-11.1,-77.61,61.09,12.12
284,karratha,0,AU,1569467873,12,-20.74,116.85,88.38,5.19
285,ballina,63,IE,1569467874,86,54.11,-9.15,57.99,5.99
286,sutysky,75,UA,1569467874,82,49.05,28.42,55.4,11.18
287,ambon,90,FR,1569467874,100,47.55,-2.56,63.0,11.41
288,beloha,97,MG,1569467874,73,-25.17,45.06,63.49,16.58
289,domanivka,100,UA,1569467874,69,47.63,30.98,52.51,10.74
290,lashio,87,MM,1569467775,68,22.93,97.75,76.34,2.62
291,bama,100,CN,1569467874,75,24.14,107.25,69.37,2.55
292,baghdad,0,IQ,1569467653,34,33.3,44.38,78.8,5.82
293,lumberton,1,US,1569467875,83,30.27,-94.2,75.2,2.89
294,taltal,17,CL,1569467875,89,-25.41,-70.49,48.11,1.45
295,iguape,100,BR,1569467875,95,-24.7,-47.56,62.44,3.85
296,axim,99,GH,1569467875,89,4.87,-2.24,76.66,11.23
297,marsa matruh,20,EG,1569467875,78,31.35,27.25,73.4,4.7
298,wamba,100,CD,1569467876,99,2.14,27.99,66.33,1.88
299,saint-michel-des-saints,92,CA,1569467876,9,46.68,-73.92,53.01,10.6
300,visby,0,SE,1569467876,93,57.64,18.3,46.0,5.82
301,phangnga,20,TH,1569467876,66,8.45,98.53,87.8,10.29
302,tautira,90,PF,1569467876,69,-17.73,-149.15,82.4,3.36
303,bilma,0,NE,1569467876,18,18.69,12.92,86.44,4.72
304,shizilu,0,CN,1569467876,52,29.63,109.09,75.33,0.4
305,provideniya,20,RU,1569467753,71,64.42,-173.23,44.6,3.09
306,rio tercero,0,AR,1569467877,33,-32.17,-64.11,60.12,6.17
307,tessalit,0,ML,1569467877,13,20.2,1.01,87.7,10.0
308,ayan,0,IR,1569467877,28,38.23,44.7,59.0,2.24
309,farmington,1,US,1569467849,24,36.73,-108.21,71.6,3.36
310,auki,92,NG,1569467877,79,12.18,6.51,74.63,7.56
311,baiyin,0,CN,1569467877,58,36.55,104.13,55.4,2.24
312,kitakata,75,JP,1569467877,59,37.67,139.86,71.01,4.07
313,voh,100,NC,1569467878,80,-20.95,164.69,70.0,25.66
314,abu kamal,0,SY,1569467878,30,34.45,40.92,70.16,12.8
315,poya,100,NC,1569467878,79,-21.35,165.16,68.56,23.31
316,alcaniz,89,ES,1569467878,72,41.05,-0.13,59.0,3.22
317,nadvoitsy,100,RU,1569467878,95,63.89,34.27,40.5,7.67
318,shingu,75,JP,1569467878,65,33.72,135.99,82.4,4.7
319,halmstad,100,SE,1569467729,87,56.67,12.86,54.0,9.17
320,asosa,12,ET,1569467879,88,10.07,34.53,64.35,5.32
321,chuy,30,UY,1569467713,75,-33.69,-53.46,57.08,7.27
322,san carlos de bariloche,0,AR,1569467879,74,-41.13,-71.31,48.58,4.12
323,mayumba,100,GA,1569467879,89,-3.44,10.65,76.34,7.43
324,fairview,75,CA,1569467879,76,56.07,-118.38,50.0,6.93
325,hobyo,66,SO,1569467879,83,5.35,48.53,76.45,20.2
326,rupert,1,US,1569467879,53,42.62,-113.68,57.2,9.17
327,oriximina,20,BR,1569467880,74,-1.77,-55.87,79.29,3.18
328,kutum,71,SD,1569467880,26,14.2,24.66,78.12,13.91
329,udaipura,100,IN,1569467880,88,23.07,78.51,76.39,4.65
330,camacari,40,BR,1569467880,78,-12.7,-38.32,77.0,12.75
331,emerald,90,AU,1569467880,47,-23.53,148.16,80.01,12.75
332,itarema,29,BR,1569467881,82,-2.92,-39.92,75.2,8.21
333,devonport,75,AU,1569467881,68,-41.18,146.36,59.0,14.0
334,pahalgam,39,IN,1569467881,80,34.03,75.33,62.91,2.68
335,lavrentiya,87,RU,1569467881,78,65.58,-170.99,35.44,2.37
336,konakovo,88,RU,1569467881,95,56.71,36.78,37.15,6.11
337,mabaruma,2,GY,1569467882,98,8.2,-59.78,72.45,1.86
338,ostrovnoy,100,RU,1569467882,83,68.05,39.51,35.86,12.28
339,dryden,90,CA,1569467882,87,49.79,-92.84,46.4,12.75
340,praia,0,BR,1569467883,72,-20.25,-43.81,64.4,4.7
341,omsukchan,96,RU,1569467883,72,62.53,155.8,30.22,11.63
342,shimoda,20,JP,1569467883,69,34.7,138.93,78.8,16.11
343,razdolinsk,97,RU,1569467884,72,58.42,94.62,40.12,4.32
344,labuhan,30,ID,1569467884,40,-2.54,115.51,95.87,3.02
345,bording,91,DK,1569467884,87,56.15,9.28,57.0,6.93
346,dawei,81,MM,1569467884,69,14.07,98.19,82.3,5.37
347,anadyr,40,RU,1569467884,75,64.73,177.51,41.0,24.61
348,codrington,90,AU,1569467884,53,-28.95,153.24,77.0,10.29
349,hovd,0,NO,1569467885,86,63.83,10.7,52.0,10.29
350,blagoyevo,100,RU,1569467885,96,63.37,47.92,35.17,9.71
351,mount isa,41,AU,1569467885,20,-20.73,139.49,87.8,5.82
352,tasiilaq,0,GL,1569467885,93,65.61,-37.64,41.0,2.24
353,grindavik,75,IS,1569467886,93,63.84,-22.43,57.2,12.75
354,tacuarembo,0,UY,1569467786,80,-31.73,-55.98,56.03,3.53
355,mount gambier,27,AU,1569467886,55,-37.83,140.78,64.4,13.87
356,vilcun,0,CL,1569467886,71,-38.65,-72.23,57.2,4.7
357,fairbanks,75,US,1569467886,78,64.84,-147.72,42.8,4.23
358,honiara,40,SB,1569467886,74,-9.43,159.96,86.0,11.41
359,yar-sale,95,RU,1569467887,92,66.83,70.83,34.45,12.1
360,hasaki,75,JP,1569467887,64,35.73,140.83,78.01,6.93
361,arona,0,IT,1569467887,100,45.76,8.56,64.0,3.36
362,vanimo,97,PG,1569467887,74,-2.67,141.3,83.41,19.48
363,araouane,0,ML,1569467887,13,18.9,-3.53,89.91,2.55
364,tiznit,0,MA,1569467887,88,29.7,-9.73,68.51,7.99
365,lakselv,100,NO,1569467887,100,70.05,24.96,48.2,18.34
366,san patricio,0,PY,1569467888,75,-26.98,-56.83,59.54,5.5
367,surt,0,LY,1569467888,75,31.21,16.59,77.06,4.92
368,mandalgovi,0,MN,1569467888,18,45.76,106.27,69.41,15.39
369,evensk,100,RU,1569467888,64,61.92,159.24,38.65,21.14
370,soloneshnoye,100,RU,1569467888,75,51.65,84.32,47.23,3.0
371,shetpe,100,KZ,1569467889,56,44.14,52.16,55.58,11.45
372,caruray,20,PH,1569467890,70,10.31,119.01,87.8,4.7
373,tefe,0,BR,1569467890,83,-3.35,-64.71,75.76,2.33
374,haines junction,100,CA,1569467890,82,60.75,-137.51,36.09,1.61
375,coquimbo,90,CL,1569467891,81,-29.95,-71.34,53.6,2.24
376,kindu,100,CD,1569467892,96,-2.95,25.92,69.88,6.44
377,owando,84,CG,1569467892,98,-0.49,15.91,69.44,2.13
378,vite,75,ES,1569467892,93,42.89,-8.54,66.99,5.82
379,luderitz,77,NA,1569467892,29,-26.65,15.16,78.8,5.82
380,am timan,100,TD,1569467892,83,11.04,20.28,74.92,4.23
381,suhbaatar,99,MN,1569467892,62,50.23,106.21,63.04,9.19
382,tyler,1,US,1569467674,69,32.35,-95.3,82.0,3.36
383,kyren,100,RU,1569467893,90,51.68,102.13,43.38,2.42
384,puerto colombia,100,CO,1569467893,92,10.99,-74.96,79.0,8.05
385,doha,0,QA,1569467637,70,25.29,51.53,91.4,2.24
386,tatarsk,0,RU,1569467893,65,55.22,75.96,37.57,12.84
387,maputo,75,MZ,1569467647,63,-25.97,32.57,60.8,16.11
